Id  country  name  lat  lng
542  PL  Maslow  50.90065  20.72322
543  PL  Makow  51.94696  20.05211
544  PL  Malkinia Gorna  52.6922  22.02836
545  PL  Malogoszcz  50.81214  20.26407
546  PL  Maly Plock  53.30385  22.02836
547  PL  Manasterz  49.9352  22.34602
548  PL  Maniowy  49.45976  20.26454
549  PL  Marki  52.32065  21.10474
550  PL  Markowa  50.02633  22.3316
551  PL  Markuszow  51.37457  22.25804
552  PL  Makow Mazowiecki  52.86493  21.10053
553  PL  Gac  50.02693  22.35898
554  PL  Krasnystaw  50.98464  23.1742
555  PL  Korczyna  49.71555  21.80941
556  PL  Izbica Kujawska  52.42073  18.7627
557  PL  Izbicko  50.57163  18.15585
558  PL  Izdebnik  49.87218  19.76801
559  PL  Jablonka  49.47968  19.6937
560  PL  Jablonna  52.20598  16.20741
561  PL  Jablonowo Pomorskie  53.39137  19.15509
562  PL  Janikowo  52.75328  18.11328
563  PL  Jankowice  50.0009  18.98901
564  PL  Istebna  49.56319  18.90567
565  PL  Jankowice Rybnickie  50.04479  18.54707
566  PL  Janowice  49.88496  19.09376
567  PL  Grzechynia  49.7136  19.64561
568  PL  Janowice Wielkie  50.87569  15.92322
569  PL  Gryfow slaski  51.03081  15.42017
570  PL  Gryfice  53.9165  15.20027
571  PL  Gorzyce Wielkie  51.63725  17.72953
572  PL  Gorzyczki  49.94912  18.4033
573  PL  Goscicino  54.60459  18.15491
574  PL  Jankow Przygodzki  51.59808  17.78824
575  PL  Goscino  54.05123  15.65256
576  PL  Inwald  49.86355  19.39276
577  PL  Inowroclaw  52.79886  18.26387
578  PL  Lipnik  49.78902  20.08455
579  PL  Lipnik  50.72977  21.49389
580  PL  Lesko  49.4701  22.33042
581  PL  Ludzmierz  49.46656  19.9825
582  PL  Lubsza  50.91591  17.52173
583  PL  Ludwikowice Klodzkie  50.62464  16.46052
584  PL  Grzegorzew  52.20177  18.73409
585  PL  Grzmiaca  53.83734  16.43512
586  PL  Insko  53.43613  15.5502
587  PL  Gubin  51.94956  14.72837
588  PL  Hazlach  49.80714  18.65178
589  PL  Hel  54.60814  18.8013
590  PL  Henrykow  50.65327  17.01027
591  PL  Herby  50.75318  18.88756
592  PL  Huta Stara B  50.73792  19.13295
593  PL  Ilawa  53.59601  19.56849
594  PL  Ilowa  51.5006  15.1998
595  PL  Imielin  50.14534  19.18599
596  PL  Harbutowice  49.81235  19.78045
597  PL  Lipnica Wielka  49.70489  20.86844
598  PL  Gostycyn  53.49014  17.80978
599  PL  Gostyn  51.88247  17.01225
600  PL  Januszkowice  50.39189  18.1368
601  PL  Jaraczewo  51.96854  17.29707
602  PL  Juszczyn  49.6929  19.69128
603  PL  Juszczyna  49.62984  19.22032
604  PL  Jutrosin  51.65009  17.16957
